"Date","Price","Open","High","Low","Vol.","Change %"
"12/01/2024","403.84","352.38","488.54","348.20","1.90B","17.00%"
"11/01/2024","345.16","252.04","361.93","238.88","2.09B","38.15%"
"10/01/2024","249.85","262.67","273.54","212.11","1.91B","-4.50%"
"09/01/2024","261.63","215.26","264.86","209.64","1.61B","22.19%"
"08/01/2024","214.11","227.69","231.87","182.00","1.62B","-7.74%"
"07/01/2024","232.07","201.02","271.00","200.85","2.95B","17.28%"
"06/01/2024","197.88","178.13","203.20","167.41","1.41B","11.12%"
"05/01/2024","178.08","182.00","187.56","167.75","1.67B","-2.84%"
"04/01/2024","183.28","176.17","198.87","138.80","2.48B","4.26%"
"03/01/2024","175.79","200.52","204.52","160.51","1.90B","-12.92%"
"02/01/2024","201.88","188.50","205.60","175.01","2.02B","7.79%"
"01/01/2024","187.29","250.08","251.25","180.06","2.34B","-24.63%"
"12/01/2023","248.48","233.14","265.13","228.20","2.30B","3.50%"
"11/01/2023","240.08","204.04","252.75","197.85","2.65B","19.54%"
"10/01/2023","200.84","244.81","268.94","194.07","2.59B","-19.73%"
"09/01/2023","250.22","257.26","278.98","234.58","2.44B","-3.05%"
"08/01/2023","258.08","266.26","266.47","212.36","2.50B","-3.50%"
"07/01/2023","267.43","276.49","299.29","254.12","2.39B","2.16%"
"06/01/2023","261.77","202.59","276.99","199.37","3.44B","28.36%"
"05/01/2023","203.93","163.17","204.48","158.83","2.68B","24.11%"
"04/01/2023","164.31","199.91","202.69","152.37","2.51B","-20.80%"
"03/01/2023","207.46","206.21","207.79","163.91","3.31B","0.85%"
"02/01/2023","205.71","173.89","217.65","169.93","3.63B","18.76%"
"01/01/2023","173.22","118.47","180.68","101.81","3.90B","40.62%"
"12/01/2022","123.18","197.08","198.92","108.24","2.94B","-36.73%"
"11/01/2022","194.70","234.05","237.40","166.18","1.89B","-14.43%"
"10/01/2022","227.54","254.50","257.50","198.59","1.74B","-14.22%"
"09/01/2022","265.25","272.58","313.80","262.47","1.30B","-3.76%"
"08/01/2022","275.61","301.27","314.67","271.81","1.70B","-7.25%"
"07/01/2022","297.15","227.00","298.32","216.17","1.75B","32.38%"
"06/01/2022","224.47","251.72","264.21","208.69","2.01B","-11.19%"
"05/01/2022","252.75","286.92","318.50","206.86","1.95B","-12.92%"
"04/01/2022","290.25","360.38","384.29","273.90","1.52B","-19.19%"
"03/01/2022","359.20","289.89","371.59","252.01","1.73B","23.80%"
"02/01/2022","290.14","311.74","315.92","233.33","1.39B","-7.08%"
"01/01/2022","312.24","382.58","402.67","264.00","1.92B","-11.36%"
"12/01/2021","352.26","386.90","390.95","295.37","1.53B","-7.69%"
"11/01/2021","381.59","381.67","414.50","326.20","1.95B","2.76%"
